datetime,spot,iv,straddle_cost,signal,in_position,entry_reason,exit_reason,pnl,pnl_pct,result,trade_number,cumulative_pnl
2025-03-27 14:30:00,23592.75,7.456562,15.7,EXIT,False,,STOP_LOSS (-22.9%),-4.650000000000002,-22.850122850122858,LOSS,98,574.8999999999999
2025-03-27 14:40:00,23603.4,7.630765,13.75,EXIT,False,,PROFIT_TARGET (8.3%),1.0500000000000007,8.267716535433077,WIN,99,575.9499999999998
2025-03-27 14:50:00,23610.2,7.5648965,14.85,EXIT,False,,PROFIT_TARGET (8.8%),1.200000000000001,8.7912087912088,WIN,100,577.1499999999999
2025-03-27 15:00:00,23600.8,7.6051519999999995,10.100000000000001,EXIT,False,,PROFIT_TARGET (16.8%),1.450000000000001,16.76300578034683,WIN,101,578.5999999999999
2025-03-28 09:15:00,23604.2,12.977603,321.70000000000005,EXIT,False,,PROFIT_TARGET (3216.5%),312.00000000000006,3216.4948453608254,WIN,102,890.5999999999999
2025-04-02 12:35:00,23272.7,14.242086,148.25,EXIT,False,,TIME_LIMIT (10 periods),-3.0999999999999943,-2.048232573505117,LOSS,103,887.4999999999999
2025-04-02 13:30:00,23299.75,14.149384,143.2,EXIT,False,,TIME_LIMIT (10 periods),0.8499999999999659,0.5971197752019429,WIN,104,888.3499999999999
2025-04-02 14:25:00,23301.6,13.654233,135.8,EXIT,False,,TIME_LIMIT (10 periods),-4.899999999999977,-3.482587064676601,LOSS,105,883.4499999999999
2025-04-02 15:00:00,23339.4,14.967218500000001,147.25,EXIT,False,,PROFIT_TARGET (9.0%),12.150000000000006,8.993338267949671,WIN,106,895.5999999999999
2025-04-03 10:10:00,23277.6,14.641191500000001,68.80000000000001,EXIT,False,,PROFIT_TARGET (10.3%),6.450000000000017,10.344827586206923,WIN,107,902.05
2025-04-03 10:20:00,23302.7,14.349271,64.45,EXIT,False,,PROFIT_TARGET (12.5%),7.149999999999999,12.478184991273993,WIN,108,909.1999999999999
2025-04-03 10:55:00,23289.1,11.912814000000001,50.9,EXIT,False,,STOP_LOSS (-15.2%),-9.149999999999999,-15.23730224812656,LOSS,109,900.05
2025-04-03 11:05:00,23276.5,11.859854,52.550000000000004,EXIT,False,,PROFIT_TARGET (16.9%),7.600000000000001,16.907675194660737,WIN,110,907.65
2025-04-03 11:15:00,23260.4,10.066237000000001,41.849999999999994,EXIT,False,,STOP_LOSS (-15.6%),-7.75,-15.625000000000004,LOSS,111,899.9
2025-04-03 11:40:00,23283.05,11.237571500000001,45.300000000000004,EXIT,False,,PROFIT_TARGET (8.1%),3.4000000000000057,8.114558472553714,WIN,112,903.3
2025-04-03 12:10:00,23273.5,7.926241,35.2,EXIT,False,,STOP_LOSS (-22.9%),-10.450000000000003,-22.891566265060245,LOSS,113,892.8499999999999
2025-04-03 12:20:00,23271.3,5.1363375,30.8,EXIT,False,,STOP_LOSS (-27.4%),-11.599999999999998,-27.35849056603773,LOSS,114,881.2499999999999
2025-04-03 12:40:00,23258.35,7.2569625,25.049999999999997,EXIT,False,,IV_EXPANSION (7.3% vs 6.6%),-2.600000000000005,-9.403254972875242,LOSS,115,878.6499999999999
2025-04-03 13:15:00,23260.5,6.2537864999999995,20.799999999999997,EXIT,False,,STOP_LOSS (-16.1%),-4.0,-16.12903225806452,LOSS,116,874.6499999999999
2025-04-03 13:30:00,23276.45,13.423508000000002,42.050000000000004,EXIT,False,,PROFIT_TARGET (107.1%),21.750000000000004,107.14285714285717,WIN,117,896.3999999999999
