entry_time,exit_time,entry_cost,exit_cost,raw_pnl,costs,net_pnl,net_pnl_pct,result,exit_reason,hold_minutes
2025-08-22 10:05:00,2025-08-22 10:15:00,236.75,235.75,-1.0,47.568299999999994,-48.568299999999994,-20.5145934530095,LOSS,STOP_LOSS,10
2025-09-17 09:15:00,2025-09-17 12:15:00,351.65,349.65,-2.0,47.746514000000005,-49.746514000000005,-14.146598606569032,LOSS,TIME_LIMIT,180
2025-09-18 09:20:00,2025-09-18 12:20:00,312.25,321.29999999999995,9.049999999999955,47.6964315,-38.64643150000005,-12.376759487590087,LOSS,TIME_LIMIT,180
2025-09-19 09:15:00,2025-09-19 12:15:00,286.35,307.7,21.349999999999966,47.668696499999996,-26.31869650000003,-9.191093591758348,LOSS,TIME_LIMIT,180
2025-09-24 09:15:00,2025-09-24 09:40:00,236.55,236.8,0.25,47.5692755,-47.3192755,-20.003921158317482,LOSS,STOP_LOSS,25
2025-09-24 10:40:00,2025-09-24 10:55:00,221.55,221.4,-0.15000000000000568,47.5454635,-47.6954635,-21.52808102008576,LOSS,STOP_LOSS,15
2025-09-25 09:15:00,2025-09-25 09:20:00,202.65,199.55,-3.0999999999999943,47.512941,-50.61294099999999,-24.975544534912405,LOSS,STOP_LOSS,5
2025-10-14 09:20:00,2025-10-14 12:20:00,390.0,421.55,31.55000000000001,47.8408965,-16.290896499999988,-4.1771529487179455,LOSS,TIME_LIMIT,180
2025-10-15 09:20:00,2025-10-15 12:20:00,374.35,366.85,-7.5,47.776261000000005,-55.276261000000005,-14.76593054628022,LOSS,TIME_LIMIT,180
2025-10-16 09:20:00,2025-10-16 12:20:00,350.85,341.55,-9.300000000000011,47.737747,-57.03774700000001,-16.257017813880577,LOSS,TIME_LIMIT,180
2025-10-23 13:55:00,2025-10-23 14:05:00,228.5,229.95,1.4499999999999886,47.557953499999996,-46.10795350000001,-20.178535448577684,LOSS,STOP_LOSS,10
2025-10-24 10:45:00,2025-10-24 10:45:00,208.9,208.9,0.0,47.525884000000005,-47.525884000000005,-22.750542843465773,LOSS,STOP_LOSS,5
2025-10-24 13:25:00,2025-10-24 13:30:00,196.15,196.65,0.5,47.50650900000001,-47.00650900000001,-23.96457252102983,LOSS,STOP_LOSS,5
2025-10-24 13:25:00,2025-10-24 13:30:00,196.15,196.65,0.5,47.50650900000001,-47.00650900000001,-23.96457252102983,LOSS,STOP_LOSS,5
