entry_time,exit_time,entry_cost,exit_cost,net_pnl,result,exit_reason
2025-02-27 10:50:00,2025-02-27 11:05:00,42.6,35.8,-56.8,LOSS,STOP
2025-02-27 11:55:00,2025-02-27 12:10:00,56.7,28.55,-78.15,LOSS,STOP
2025-02-28 09:15:00,2025-03-05 09:15:00,667.1,575.7,-141.4,LOSS,TIME
2025-03-06 09:20:00,2025-03-11 09:20:00,569.5,511.65,-107.85,LOSS,TIME
2025-03-11 09:50:00,2025-03-13 09:35:00,508.6,431.9,-126.7,LOSS,STOP
2025-03-13 11:25:00,2025-03-17 11:40:00,434.05,395.1,-88.95,LOSS,TIME
2025-03-17 12:10:00,2025-03-19 14:25:00,390.6,330.25,-110.35,LOSS,STOP
2025-03-19 15:10:00,2025-03-20 12:15:00,341.35,289.4,-101.95,LOSS,STOP
2025-03-21 11:40:00,2025-03-25 11:45:00,279.45,237.2,-92.25,LOSS,STOP
2025-03-26 09:15:00,2025-03-26 14:40:00,195.9,165.25,-80.65,LOSS,STOP
2025-03-27 09:15:00,2025-03-27 09:30:00,143.3,113.3,-80.0,LOSS,STOP
2025-03-27 10:00:00,2025-03-27 10:30:00,91.1,75.95,-65.15,LOSS,STOP
2025-03-28 14:05:00,2025-04-03 14:05:00,687.6,667.85,-69.75,LOSS,TIME
2025-04-04 09:15:00,2025-04-07 09:15:00,661.75,1046.95,335.2,WIN,PROFIT
2025-04-07 09:20:00,2025-04-07 09:30:00,1219.6,1016.6,-253.0,LOSS,STOP
2025-04-07 09:35:00,2025-04-07 14:15:00,1069.6,1045.45,-74.15,LOSS,TIME
2025-04-07 14:45:00,2025-04-08 09:15:00,1084.45,898.3,-236.15,LOSS,STOP
2025-04-09 09:15:00,2025-04-11 10:40:00,952.4,806.75,-195.65,LOSS,STOP
2025-04-17 09:20:00,2025-04-21 12:10:00,536.25,447.15,-139.1,LOSS,STOP
2025-04-21 14:15:00,2025-04-23 15:10:00,460.9,391.6,-119.3,LOSS,STOP
2025-04-24 09:25:00,2025-04-28 09:15:00,387.7,268.9,-168.8,LOSS,STOP
2025-04-28 09:45:00,2025-04-28 15:00:00,250.15,205.9,-94.25,LOSS,STOP
2025-04-29 09:40:00,2025-04-29 10:10:00,189.95,161.15,-78.8,LOSS,STOP
2025-04-30 09:45:00,2025-04-30 09:55:00,75.75,62.95,-62.8,LOSS,STOP
2025-04-30 11:15:00,2025-04-30 11:20:00,62.5,47.75,-64.75,LOSS,STOP
2025-04-30 14:50:00,2025-04-30 14:55:00,37.45,22.85,-64.6,LOSS,STOP
2025-04-30 15:30:00,2025-05-02 09:15:00,84.45,864.85,730.4,WIN,PROFIT
2025-05-02 09:20:00,2025-05-02 14:00:00,851.6,856.35,-45.25,LOSS,TIME
2025-05-05 09:15:00,2025-05-08 09:15:00,825.2,751.3,-123.9,LOSS,TIME
2025-05-08 13:30:00,2025-05-08 15:25:00,758.0,963.2,155.2,WIN,PROFIT
2025-05-09 09:40:00,2025-05-12 09:15:00,879.95,617.35,-312.6,LOSS,STOP
2025-05-13 09:15:00,2025-05-15 14:25:00,686.45,582.4,-154.05,LOSS,STOP
2025-05-19 09:15:00,2025-05-21 15:25:00,542.6,459.85,-132.75,LOSS,STOP
2025-05-23 10:00:00,2025-05-27 10:55:00,417.1,400.6,-66.5,LOSS,TIME
2025-05-27 11:25:00,2025-05-27 14:45:00,454.4,384.85,-119.55,LOSS,STOP
2025-05-28 09:15:00,2025-05-28 09:35:00,398.25,336.4,-111.85,LOSS,STOP
2025-05-28 10:05:00,2025-05-28 11:45:00,312.9,265.6,-97.3,LOSS,STOP
2025-05-29 12:10:00,2025-05-29 12:40:00,94.0,76.4,-67.6,LOSS,STOP
2025-05-29 15:15:00,2025-05-30 09:15:00,20.15,827.6,757.45,WIN,PROFIT
2025-06-02 09:15:00,2025-06-05 09:15:00,835.8,709.55,-176.25,LOSS,STOP
2025-06-06 12:05:00,2025-06-10 09:20:00,701.1,594.3,-156.8,LOSS,STOP
2025-06-11 12:05:00,2025-06-16 12:05:00,551.45,486.95,-114.5,LOSS,TIME
2025-06-16 12:35:00,2025-06-18 10:20:00,489.85,413.45,-126.4,LOSS,STOP
2025-06-18 11:15:00,2025-06-20 09:15:00,420.1,338.95,-131.15,LOSS,STOP
2025-06-23 09:15:00,2025-06-24 09:15:00,285.3,235.2,-100.1,LOSS,STOP
2025-06-24 09:45:00,2025-06-24 15:25:00,248.45,208.95,-89.5,LOSS,STOP
2025-06-26 09:15:00,2025-06-26 09:30:00,112.4,155.4,-7.0,LOSS,PROFIT
2025-06-26 10:00:00,2025-06-26 11:10:00,139.95,114.45,-75.5,LOSS,STOP
2025-06-26 11:40:00,2025-06-26 12:15:00,140.1,112.5,-77.6,LOSS,STOP
2025-06-26 12:45:00,2025-06-26 13:50:00,127.8,100.5,-77.3,LOSS,STOP
2025-06-26 14:20:00,2025-06-26 14:30:00,72.3,45.4,-76.9,LOSS,STOP
2025-06-30 09:15:00,2025-07-03 09:15:00,749.25,668.05,-131.2,LOSS,TIME
2025-07-03 14:25:00,2025-07-08 14:25:00,673.95,587.45,-136.5,LOSS,TIME
2025-07-10 10:10:00,2025-07-15 09:15:00,555.9,467.6,-138.3,LOSS,STOP
2025-07-17 10:10:00,2025-07-21 12:15:00,403.5,342.1,-111.4,LOSS,STOP
2025-07-24 11:20:00,2025-07-28 10:35:00,263.95,223.35,-90.6,LOSS,STOP
2025-07-28 11:05:00,2025-07-29 11:25:00,221.75,187.6,-84.15,LOSS,STOP
2025-07-30 09:15:00,2025-07-30 12:10:00,150.45,127.85,-72.6,LOSS,STOP
2025-07-31 09:15:00,2025-07-31 09:35:00,127.25,106.35,-70.9,LOSS,STOP
2025-07-31 10:05:00,2025-07-31 12:40:00,94.35,79.25,-65.1,LOSS,STOP
2025-07-31 13:10:00,2025-07-31 13:55:00,86.95,62.05,-74.9,LOSS,STOP
2025-07-31 14:50:00,2025-07-31 14:55:00,40.0,17.75,-72.25,LOSS,STOP
2025-07-31 15:25:00,2025-08-01 09:15:00,18.35,591.5,523.15,WIN,PROFIT
2025-08-01 15:05:00,2025-08-06 15:05:00,602.6,522.15,-130.45,LOSS,TIME
2025-08-07 09:55:00,2025-08-12 09:55:00,510.6,440.65,-119.95,LOSS,TIME
2025-08-13 09:25:00,2025-08-18 11:50:00,434.6,368.25,-116.35,LOSS,STOP
2025-08-22 15:05:00,2025-08-25 09:20:00,233.6,189.25,-94.35,LOSS,STOP
2025-08-25 09:50:00,2025-08-25 15:25:00,180.3,150.9,-79.4,LOSS,STOP
2025-08-26 09:40:00,2025-08-26 11:45:00,153.5,129.6,-73.9,LOSS,STOP
2025-08-26 15:00:00,2025-08-28 09:15:00,137.75,105.45,-82.3,LOSS,STOP
2025-08-28 09:45:00,2025-08-28 10:25:00,90.95,73.6,-67.35,LOSS,STOP
2025-08-28 10:55:00,2025-08-28 12:05:00,91.95,75.7,-66.25,LOSS,STOP
2025-08-29 09:15:00,2025-09-02 09:30:00,664.95,563.65,-151.3,LOSS,STOP
2025-09-02 13:55:00,2025-09-04 11:55:00,586.05,551.25,-84.8,LOSS,TIME
2025-09-04 12:15:00,2025-09-05 15:00:00,547.6,513.4,-84.2,LOSS,TIME
2025-09-08 09:15:00,2025-09-11 09:15:00,499.3,441.8,-107.5,LOSS,TIME
2025-09-15 09:15:00,2025-09-18 09:15:00,392.8,320.7,-122.1,LOSS,STOP
2025-09-19 10:00:00,2025-09-23 09:15:00,312.0,263.05,-98.95,LOSS,STOP
2025-09-23 09:45:00,2025-09-24 09:15:00,283.2,236.55,-96.65,LOSS,STOP
2025-09-25 12:05:00,2025-09-26 10:55:00,208.25,176.65,-81.6,LOSS,STOP
2025-09-26 11:25:00,2025-09-29 09:20:00,184.8,154.9,-79.9,LOSS,STOP
2025-09-29 09:25:00,2025-09-29 13:00:00,156.2,128.35,-77.85,LOSS,STOP
2025-09-29 15:00:00,2025-09-29 15:15:00,145.1,120.8,-74.3,LOSS,STOP
