datetime,close_call,iv_call,spot,close_put,iv_put,straddle_cost,avg_iv
2026-02-04 13:25:00,319.5,9.801235,25757.25,216.05,11.785708,535.55,10.793471499999999
2026-02-04 13:30:00,317.85,9.526202,25765.15,218.25,12.016511,536.1,10.7713565
2026-02-04 13:35:00,322.55,9.577993,25770.9,216.6,12.046406,539.15,10.812199499999998
2026-02-04 13:40:00,320.75,9.48997,25771.35,216.2,12.037777,536.95,10.763873499999999
2026-02-04 13:45:00,317.1,9.518038,25764.4,218.55,12.018015,535.6500000000001,10.768026500000001
2026-02-04 13:50:00,303.3,9.627854,25786.25,231.2,12.039144,534.5,10.833499
2026-02-04 13:55:00,296.0,9.598039,25775.1,236.85,12.076894,532.85,10.8374665
2026-02-04 14:00:00,318.95,9.554528,25766.2,218.55,12.050973,537.5,10.8027505
2026-02-04 14:05:00,319.3,9.561806,25766.55,216.1,11.953739,535.4,10.757772500000002
2026-02-04 14:10:00,310.3,9.813436,25790.9,224.0,11.82139,534.3,10.817412999999998
2026-02-04 14:15:00,319.8,9.829555,25806.2,220.55,11.945259,540.35,10.887407
2026-02-04 14:20:00,313.85,9.710862,25801.0,223.0,11.958296,536.85,10.834579000000002
2026-02-04 14:25:00,315.45,9.851818,25798.2,224.05,11.953973,539.5,10.9028955
2026-02-04 14:30:00,312.9,9.719316,25799.2,225.0,12.012175,537.9,10.8657455
2026-02-04 14:35:00,318.65,9.649069,25811.5,220.7,12.046187,539.3499999999999,10.847628
2026-02-04 14:40:00,316.65,9.620858,25809.35,224.35,12.163619,541.0,10.892238500000001
2026-02-04 14:45:00,306.45,9.549839,25795.25,229.75,12.144385,536.2,10.847112
2026-02-04 14:50:00,307.8,9.598532,25795.65,229.4,12.137319,537.2,10.8679255
2026-02-04 14:55:00,304.4,9.782979,25782.65,232.55,12.039151,536.95,10.911065
2026-02-04 15:00:00,304.2,9.594171,25789.9,233.3,12.200645,537.5,10.897407999999999
2026-02-04 15:05:00,299.25,9.517693,25784.65,237.5,12.284029,536.75,10.900860999999999
2026-02-04 15:10:00,300.5,9.610918,25783.1,239.25,12.330333,539.75,10.9706255
2026-02-04 15:15:00,321.0,9.591989,25768.95,222.45,12.273137,543.45,10.932563
2026-02-04 15:20:00,312.65,9.477541,25759.7,230.15,12.43883,542.8,10.958185499999999
2026-02-04 15:25:00,314.9,10.141818,25737.5,230.95,12.080476,545.8499999999999,11.111147
2026-02-05 09:15:00,287.9,9.554605,25727.35,242.35,12.512551,530.25,11.033578
2026-02-05 09:20:00,285.95,9.363624,25682.6,236.25,12.36808,522.2,10.865852
2026-02-05 09:25:00,296.0,9.594573,25690.65,229.35,12.219991,525.35,10.907282
2026-02-05 09:30:00,295.1,9.502717,25692.75,229.4,12.261088,524.5,10.8819025
2026-02-05 09:35:00,292.15,9.712609,25679.6,231.7,12.11935,523.8499999999999,10.9159795
2026-02-05 09:40:00,302.1,10.030152,25635.15,227.3,12.0516,529.4000000000001,11.040876
2026-02-05 09:45:00,298.35,9.957874,25631.65,234.75,12.308352,533.1,11.133113
2026-02-05 09:50:00,325.5,10.050282,25624.6,216.5,12.31601,542.0,11.183146
2026-02-05 09:55:00,300.3,9.900541,25637.35,230.95,12.25112,531.25,11.0758305
2026-02-05 10:00:00,302.1,9.992915,25636.85,230.0,12.201639,532.1,11.097277
2026-02-05 10:05:00,300.05,9.938576,25635.55,233.45,12.32695,533.5,11.132763
2026-02-05 10:10:00,309.6,9.385219,25672.5,217.4,12.301335,527.0,10.843277
2026-02-05 10:15:00,313.7,9.619303,25670.6,216.3,12.220477,530.0,10.91989
2026-02-05 10:20:00,292.4,9.345245,25694.85,224.7,12.10324,517.0999999999999,10.724242499999999
2026-02-05 10:25:00,312.7,9.624126,25668.9,212.35,12.019903,525.05,10.8220145
2026-02-05 10:30:00,302.95,9.780355,25646.9,218.2,11.87955,521.15,10.829952500000001
2026-02-05 10:35:00,296.9,10.007143,25627.8,228.0,11.952852,524.9,10.9799975
